"","booking_perc","host_response_time","host_response_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","host_since_duration","Dis_Fin","Dis_Dt","Dis_Airport","Dis_UnionSq","amenities_count","final_score","Score","Magnitude"
"95",0.332824427480916,"Missing",0,"t",7,"t","t","Mission","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",326,2630,9282,350,180,2,50,31,7300,35,99,10,10,10,10,9,"t",2886,4907.10110818882,2630.57799081465,15270.2225407993,3950.79710702355,22,1.33027695551897,0.811428559171429,2.8171428544
"96",0.299559471365639,"within an hour",100,"f",1,"t","t","Inner Richmond","t","House","Entire home/apt",2,1,2,2,"Real Bed",80,560,2700,0,100,1,20,30,365,50,98,10,10,10,10,9,"f",2878,5780.05460451663,3623.17867838738,18512.3800667802,4941.33406753939,29,1.29383644525601,0.6500000042,3.91200002198
"97",0.516030534351145,"within an hour",93,"f",41,"t","t","Excelsior","t","House","Private room",2,1,1,1,"Real Bed",46,322,1375,150,50,1,15,30,1125,39,91,9,9,9,9,9,"f",2923,7509.44152548704,5310.05358986946,12768.4877605505,6586.34493506379,5,1.19673627872056,0.556410261666667,3.93846152989744
"98",0.403053435114504,"within an hour",93,"f",41,"t","t","Excelsior","t","House","Private room",2,1,1,1,"Real Bed",40,280,1175,150,35,1,25,30,1125,26,82,8,8,9,8,8,"f",2923,7361.55656737623,5189.15440951608,12831.151660386,6444.75228931195,7,0.933828713849357,0.54999999575,2.70416666816667
"99",0.308396946564885,"Missing",0,"f",31,"t","t","Seacliff","t","Apartment","Entire home/apt",4,2,3,3,"Real Bed",170,1190,5000,0,205,4,50,30,1125,7,93,9,8,9,9,8,"f",3119,9564.95277173365,7654.5098713079,20685.7743756092,8840.6574590372,36,1.50167874946385,0.671428574,5.271428636
"100",0.202643171806167,"within a few hours",100,"f",2,"t","t","Bernal Heights","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",108,756,3300,500,0,2,0,31,180,10,98,10,10,10,10,10,"f",2872,5856.5321643666,3630.9326591927,14311.9759977298,4918.28870264642,27,1.589386460112,0.5799999975,7.1100000201
"101",0.306167400881057,"within an hour",96,"f",20,"t","f","Chinatown","t","House","Shared room",1,2.5,1,2,"Real Bed",30,210,880,300,0,1,0,30,365,12,92,9,8,9,9,9,"f",2895,342.244586725524,2245.70524486427,19311.1841721443,700.036222264512,19,1.10716133741193,0.658333333833333,2.38333329566667
"102",0.803053435114504,"within an hour",96,"f",20,"t","f","Financial District","t","Hostel","Shared room",1,1,1,1,"Real Bed",45,329,1350,0,0,1,45,1,21,333,92,9,9,10,10,9,"t",2895,155.708419847287,2419.98366571521,19385.1748653746,858.922042125873,21,1.14997133133276,0.695121946935976,2.39634145237195
"103",0.267175572519084,"within a few hours",100,"t",1,"t","f","Bernal Heights","t","Guest suite","Private room",2,1,1,1,"Real Bed",109,763,3270,0,60,1,0,3,25,100,98,10,10,10,10,10,"f",2863,5513.6975930194,3772.60601668172,14061.7121592999,4694.33827091034,28,1.31183813771498,0.71799999952,3.42399999143
"104",0.266519823788546,"within a few hours",100,"f",1,"t","t","Inner Richmond","t","Apartment","Entire home/apt",2,1,1,2,"Real Bed",80,560,2700,0,100,1,20,30,365,2,60,9,8,10,8,8,"f",2862,5822.1386056585,3736.30965167335,18750.2325383311,5007.72645525319,12,0.883686050977418,0.550000012,1.650000036
